127.0.0.1, 2014-07-07 08:51:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.113955
127.0.0.1, 2014-07-07 08:52:03, GET, /admin/default/index, HTTP/1.1, 200, 0.116393
127.0.0.1, 2014-07-07 08:52:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2014-07-07 08:52:05, POST, /admin/default/index, HTTP/1.1, 303, 0.047964
127.0.0.1, 2014-07-07 08:52:05, GET, /admin/default/site, HTTP/1.1, 200, 0.059205
127.0.0.1, 2014-07-07 08:52:05, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 304, 0.000412
127.0.0.1, 2014-07-07 08:52:05, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 304, 0.000278
127.0.0.1, 2014-07-07 08:52:05, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000292
127.0.0.1, 2014-07-07 08:52:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.085827
127.0.0.1, 2014-07-07 08:52:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2014-07-07 08:52:11, GET, /hello_world/default/index, HTTP/1.1, 200, 0.076139
127.0.0.1, 2014-07-07 08:52:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2014-07-07 08:52:13, GET, /admin/default/site, HTTP/1.1, 200, 0.060222
127.0.0.1, 2014-07-07 08:52:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2014-07-07 08:52:32, POST, /admin/default/site, HTTP/1.1, 303, 0.084516
127.0.0.1, 2014-07-07 08:52:32, GET, /admin/default/design/seconds2minutes, HTTP/1.1, 200, 0.185503
127.0.0.1, 2014-07-07 08:52:32, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000405
127.0.0.1, 2014-07-07 08:52:32, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000334
127.0.0.1, 2014-07-07 08:52:32, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000484
127.0.0.1, 2014-07-07 08:52:32, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000420
127.0.0.1, 2014-07-07 08:52:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2014-07-07 08:52:40, GET, /admin/default/peek/seconds2minutes/controllers/default.py, HTTP/1.1, 200, 0.066877
127.0.0.1, 2014-07-07 08:52:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
